0001charlie   12501020012
0002charlotte 08600950118
0003spirou    08000750126
0004charlot   12401040012
0005scoubidou 09500850134
0006dark vador18001600126
0007milou     08501000005
0008tintin    12001100028
0009tournesol 12401040012
0010grosminet 14301260020
0011titi      17001200034
0012betty boop09000800012
0013dormeur   08500960112
0014zebulon   12900950000
0015sidonie   08001000004
0016aglae     07500950104
0017casimir   08601020005
0018james bond10001100029
0019arsene    08000900010
0020bonaparte 07000800028
0021napoleon  16001400014
0022cesar     08501020100
0023rosalie   13001200025
0024leon      13501250030
0025neron     09001100115
0026nemesis   10200890029
0027cresus    12601450019
0028zidane    07600670032
0029djokovic  15001200032
0030nadal     18001760014
0031noah      10001100124
0032simplet   07500860006
0033atchoum   11601270118
0034timide    16701050134
0035prof      08900970006
0036snoopy    08001000004
0037baudiquet 11301260005
0038hannibal  08000900016
0039robespierr12001300108
0040louisXVI  09001000012
